Performance,All trades,Long trades,Short trades,
Total net profit,$489413.00,$259254.50,$230158.50,
Gross profit,$1265713.50,$654875.50,$610838.00,
Gross loss,($776300.50),($395621.00),($380679.50),
Commission,$0.00,$0.00,$0.00,
Profit factor,1.63,1.66,1.60,
Max. drawdown,($34070.50),($23628.00),($29015.50),
Sharpe ratio,0.55,0.36,0.49,
Sortino ratio,1.59,0.76,1.45,
Ulcer index,0.01,0.01,0.01,
R squared,0.98,0.94,0.97,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.07%,0.20%,3.12%,
,,,,
Start date,1/1/2024,,,
Start time,12:00 AM,,,
End date,7/26/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,597,306,291,
Percent profitable,31.99%,33.33%,30.58%,
# of winning trades,191,102,89,
# of losing trades,406,204,202,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$819.79,$847.24,$790.92,
Avg. winning trade,$6626.77,$6420.35,$6863.35,
Avg. losing trade,($1912.07),($1939.32),($1884.55),
Ratio avg. win / avg. loss,3.47,3.31,3.64,
,,,,
Max. consec. winners,5,4,5,
Max. consec. losers,16,11,15,
Largest winning trade,$36765.00,$36765.00,$32952.00,
Largest losing trade,($2964.00),($2964.00),($2030.00),
,,,,
Avg. # of trades per day,0.93,0.48,0.45,
Avg. time in market,165.80 min,173.35 min,157.87 min,
Avg. bars in trade,155.08,155.40,154.75,
Profit per month,$16085.23,$8539.16,$7564.48,
Max. time to recover,91.78 days,98.79 days,125.75 days,
Longest flat period,48.74 days,51.74 days,49.97 days,
,,,,
Avg. MAE,$1618.40,$1616.37,$1620.54,
Avg. MFE,$4336.85,$4107.77,$4577.74,
Avg. ETD,$3517.06,$3260.53,$3786.82,
