Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,19,19242.25,19142.00,1/2/2024 7:41:00 AM,1/2/2024 1:56:00 PM,DAVWAPPB_V1-0000,FlattenStrategyPositionsShort,$3809.50,$3809.50,$0.00,$0.00,$0.00,$0.00,$0.00,$256.50,$6583.50,$2774.00,376,
2,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,29,18961.25,18927.75,1/4/2024 8:11:00 AM,1/4/2024 10:46:00 AM,DAVWAPPB_V1-0001,Stop loss,($1943.00),$1866.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1943.00,$4045.50,$5988.50,156,
3,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,50,19002.00,19250.00,1/8/2024 7:39:00 AM,1/8/2024 1:56:00 PM,DAVWAPPB_V1-0002,FlattenStrategyPositionsLong,$24800.00,$26666.50,$0.00,$0.00,$0.00,$0.00,$0.00,$425.00,$25500.00,$700.00,378,
4,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,41,19263.00,19287.25,1/10/2024 7:58:00 AM,1/10/2024 8:11:00 AM,DAVWAPPB_V1-0003,Stop loss,($1988.50),$24678.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1988.50,$1168.50,$3157.00,14,
5,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,37,19311.50,19377.25,1/10/2024 8:32:00 AM,1/10/2024 1:56:00 PM,DAVWAPPB_V1-0004,FlattenStrategyPositionsLong,$4865.50,$29543.50,$0.00,$0.00,$0.00,$0.00,$0.00,$851.00,$8787.50,$3922.00,325,
6,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,20,19393.50,19402.25,1/11/2024 7:51:00 AM,1/11/2024 1:56:00 PM,DAVWAPPB_V1-0006,FlattenStrategyPositionsShort,($350.00),$29193.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1490.00,$7740.00,$8090.00,366,
7,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,34,19475.25,19446.25,1/12/2024 7:44:00 AM,1/12/2024 8:00:00 AM,DAVWAPPB_V1-0007,Stop loss,($1972.00),$27221.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1972.00,$969.00,$2941.00,17,
8,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,13,19400.00,19420.00,1/12/2024 8:04:00 AM,1/12/2024 1:56:00 PM,DAVWAPPB_V1-0008,FlattenStrategyPositionsShort,($520.00),$26701.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1352.00,$1033.50,$1553.50,353,
9,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,141,19392.00,19399.00,1/15/2024 7:59:00 AM,1/15/2024 7:59:00 AM,DAVWAPPB_V1-0009,Stop loss,($1974.00),$24727.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1974.00,$0.00,$1974.00,1,
10,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,24,19310.25,19351.00,1/16/2024 7:48:00 AM,1/16/2024 7:58:00 AM,DAVWAPPB_V1-0011,Stop loss,($1956.00),$22771.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1956.00,$396.00,$2352.00,11,
11,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,30,19392.75,19359.75,1/16/2024 8:17:00 AM,1/16/2024 10:29:00 AM,DAVWAPPB_V1-0012,Stop loss,($1980.00),$20791.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$5295.00,$7275.00,133,
12,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,23,19205.50,19248.50,1/17/2024 7:38:00 AM,1/17/2024 9:06:00 AM,DAVWAPPB_V1-0013,Stop loss,($1978.00),$18813.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1978.00,$3197.00,$5175.00,89,
13,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,30,19510.75,19477.75,1/18/2024 8:41:00 AM,1/18/2024 9:05:00 AM,DAVWAPPB_V1-0014,Stop loss,($1980.00),$16833.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$960.00,$2940.00,25,
14,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,39,19887.00,19912.50,1/23/2024 9:20:00 AM,1/23/2024 9:57:00 AM,DAVWAPPB_V1-0019,Stop loss,($1989.00),$14844.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1989.00,$1033.50,$3022.50,38,
15,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,22,20087.25,20131.25,1/24/2024 7:40:00 AM,1/24/2024 8:09:00 AM,DAVWAPPB_V1-0020,Stop loss,($1936.00),$12908.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1936.00,$132.00,$2068.00,30,
16,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,34,20025.75,19997.00,1/29/2024 7:42:00 AM,1/29/2024 8:01:00 AM,DAVWAPPB_V1-0022,Stop loss,($1955.00),$10953.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1955.00,$408.00,$2363.00,20,
17,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,40,20012.75,20135.25,1/29/2024 9:33:00 AM,1/29/2024 1:56:00 PM,DAVWAPPB_V1-0024,FlattenStrategyPositionsLong,$9800.00,$20753.50,$0.00,$0.00,$0.00,$0.00,$0.00,$900.00,$12040.00,$2240.00,264,
18,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,44,20067.00,20089.50,1/30/2024 8:56:00 AM,1/30/2024 9:00:00 AM,DAVWAPPB_V1-0026,Stop loss,($1980.00),$18773.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$110.00,$2090.00,5,
19,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,31,19736.75,19768.00,2/1/2024 8:01:00 AM,2/1/2024 8:06:00 AM,DAVWAPPB_V1-0027,Stop loss,($1937.50),$16836.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1937.50,$1224.50,$3162.00,6,
20,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,40,20109.25,20133.75,2/5/2024 8:09:00 AM,2/5/2024 10:23:00 AM,DAVWAPPB_V1-0030,Stop loss,($1960.00),$14876.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1960.00,$8680.00,$10640.00,135,
21,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,62,20179.00,20195.00,2/7/2024 7:45:00 AM,2/7/2024 7:49:00 AM,DAVWAPPB_V1-0032,Stop loss,($1984.00),$12892.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1984.00,$1550.00,$3534.00,5,
22,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,51,20302.50,20283.00,2/8/2024 8:06:00 AM,2/8/2024 8:13:00 AM,DAVWAPPB_V1-0033,Stop loss,($1989.00),$10903.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1989.00,$790.50,$2779.50,8,
