Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,45,18963.00,18941.00,1/4/2024 8:13:00 AM,1/4/2024 10:46:00 AM,DAVWAPPB_V1-0781,Stop loss,($1980.00),($1980.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$6120.00,$8100.00,154,
2,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,66,19002.00,19250.00,1/8/2024 7:39:00 AM,1/8/2024 1:56:00 PM,DAVWAPPB_V1-0782,FlattenStrategyPositionsLong,$32736.00,$30756.00,$0.00,$0.00,$0.00,$0.00,$0.00,$561.00,$33660.00,$924.00,378,
3,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,92,19311.50,19300.75,1/10/2024 8:32:00 AM,1/10/2024 8:39:00 AM,DAVWAPPB_V1-0783,Stop loss,($1978.00),$28778.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1978.00,$1242.00,$3220.00,8,
4,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,51,19475.25,19455.75,1/12/2024 7:44:00 AM,1/12/2024 7:59:00 AM,DAVWAPPB_V1-0785,Stop loss,($1989.00),$26789.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1989.00,$1453.50,$3442.50,16,
5,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,141,19392.00,19399.00,1/15/2024 7:59:00 AM,1/15/2024 7:59:00 AM,DAVWAPPB_V1-0786,Stop loss,($1974.00),$24815.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1974.00,$0.00,$1974.00,1,
6,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,35,19310.25,19338.25,1/16/2024 7:48:00 AM,1/16/2024 7:56:00 AM,DAVWAPPB_V1-0787,Stop loss,($1960.00),$22855.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1960.00,$577.50,$2537.50,9,
7,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,37,19372.75,19346.00,1/16/2024 8:04:00 AM,1/16/2024 8:05:00 AM,DAVWAPPB_V1-0788,Stop loss,($1979.50),$20875.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1979.50,$148.00,$2127.50,2,
8,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,54,19205.50,19223.75,1/17/2024 7:38:00 AM,1/17/2024 7:41:00 AM,DAVWAPPB_V1-0789,Stop loss,($1971.00),$18904.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1971.00,$243.00,$2214.00,4,
9,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,36,19162.75,19190.25,1/17/2024 7:56:00 AM,1/17/2024 8:08:00 AM,DAVWAPPB_V1-0790,Stop loss,($1980.00),$16924.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$1926.00,$3906.00,13,
10,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,79,19887.00,19899.50,1/23/2024 9:20:00 AM,1/23/2024 9:24:00 AM,DAVWAPPB_V1-0795,Stop loss,($1975.00),$14949.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1975.00,$711.00,$2686.00,5,
11,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,78,19888.25,19901.00,1/23/2024 9:27:00 AM,1/23/2024 9:47:00 AM,DAVWAPPB_V1-0796,Stop loss,($1989.00),$12960.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1989.00,$2262.00,$4251.00,21,
12,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,45,20087.25,20109.25,1/24/2024 7:40:00 AM,1/24/2024 7:45:00 AM,DAVWAPPB_V1-0797,Stop loss,($1980.00),$10980.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$270.00,$2250.00,6,
13,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,65,20025.75,20010.50,1/29/2024 7:42:00 AM,1/29/2024 7:46:00 AM,DAVWAPPB_V1-0798,Stop loss,($1982.50),$8998.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1982.50,$780.00,$2762.50,5,
14,MNQ SEP26,Backtest,DA--VWAPPB_V1,Long,104,20012.75,20003.25,1/29/2024 9:33:00 AM,1/29/2024 9:34:00 AM,DAVWAPPB_V1-0800,Stop loss,($1976.00),$7022.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1976.00,$0.00,$1976.00,2,
15,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,59,20079.00,20096.00,1/30/2024 8:07:00 AM,1/30/2024 8:08:00 AM,DAVWAPPB_V1-0801,Stop loss,($2006.00),$5016.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2006.00,$472.00,$2478.00,2,
16,MNQ SEP26,Backtest,DA--VWAPPB_V1,Short,66,19736.75,19751.75,2/1/2024 8:01:00 AM,2/1/2024 8:04:00 AM,DAVWAPPB_V1-0802,Stop loss,($1980.00),$3036.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$2607.00,$4587.00,4,
