Performance,All trades,Long trades,Short trades,
Total net profit,$618509.00,$285363.00,$333146.00,
Gross profit,$1502349.00,$730514.50,$771834.50,
Gross loss,($883840.00),($445151.50),($438688.50),
Commission,$0.00,$0.00,$0.00,
Profit factor,1.70,1.64,1.76,
Max. drawdown,($56080.50),($43791.00),($40973.50),
Sharpe ratio,0.55,0.37,0.44,
Sortino ratio,1.50,0.77,1.36,
Ulcer index,0.01,0.01,0.01,
R squared,0.96,0.91,0.95,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.28%,1.26%,2.80%,
,,,,
Start date,1/1/2024,,,
Start time,12:00 AM,,,
End date,7/26/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,578,290,288,
Percent profitable,22.32%,22.41%,22.22%,
# of winning trades,129,65,64,
# of losing trades,449,225,224,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$1070.08,$984.01,$1156.76,
Avg. winning trade,$11646.12,$11238.68,$12059.91,
Avg. losing trade,($1968.46),($1978.45),($1958.43),
Ratio avg. win / avg. loss,5.92,5.68,6.16,
,,,,
Max. consec. winners,4,3,3,
Max. consec. losers,20,17,17,
Largest winning trade,$45309.00,$36765.00,$45309.00,
Largest losing trade,($2964.00),($2964.00),($2162.00),
,,,,
Avg. # of trades per day,0.90,0.45,0.45,
Avg. time in market,108.39 min,112.52 min,104.23 min,
Avg. bars in trade,104.36,105.53,103.18,
Profit per month,$20328.15,$9399.11,$10961.11,
Max. time to recover,101.74 days,158.00 days,113.02 days,
Longest flat period,48.74 days,54.76 days,49.97 days,
,,,,
Avg. MAE,$1763.32,$1778.41,$1748.12,
Avg. MFE,$5740.56,$5384.16,$6099.44,
Avg. ETD,$4670.48,$4400.15,$4942.69,
